hour,day,num_users,karma_dif,post_ID
2,5,1795,-2,8agr8q
2,5,1795,0,8agp30
4,5,1878,0,8ah869
3,5,1878,-1,8ah1pa
5,5,2150,5,8ahdap
7,5,2405,1,8ahzgo
7,5,2405,9,8ahvz3
6,5,2405,4,8ahvpo
8,5,2812,180,8aib23
7,5,2812,0,8ai3jn
9,5,2599,0,8aisd0
9,5,2599,13,8ail35
9,5,2599,-1,8aiqfo
9,5,2599,117,8aim8o
10,5,2518,56,8aj4hw
9,5,2518,4,8aiybt
9,5,2518,9,8aiv07
10,5,2411,4,8ajdmi
12,5,2286,17,8ak1pd
12,5,2286,0,8ak1nm
11,5,2286,2,8ajofx
13,5,2366,0,8akd39
14,5,2486,0,8akulq
14,5,2486,799,8aktb9
13,5,2486,71,8akjud
15,5,2452,0,8al9gr
15,5,2452,0,8al8mb
14,5,2452,0,8al0ra
16,5,2646,13,8alk23
16,5,2646,15,8aliw9
15,5,2646,-2,8alcu5
18,5,2475,8,8amgbk
18,5,2475,-2,8amc20
18,5,2475,5,8amaxu
17,5,2475,0,8am490
19,5,2644,1,8amrng
19,5,2644,-1,8ampmm
18,5,2644,4,8amhtj
20,5,2437,2,8an2tb
20,5,2437,0,8an2na
19,5,2437,1,8amwxi
21,5,2485,0,8andko
21,5,2485,0,8andg1
21,5,2485,-1,8anbfk
20,5,2485,18,8an7gw
22,5,2502,-1,8anrpf
23,5,2188,8,8anxdy
0,6,2120,9,8ao7mt
23,5,2120,1,8ao57j
23,5,2120,0,8ao4nl
1,6,1896,15,8aoj5v
1,6,1896,23,8aogdw
1,6,1896,2,8aoi1e
2,6,1756,-2,8aonnd
4,6,1612,-2,8ap4jp
5,6,1774,-1,8apedp
4,6,1774,760,8ap7ue
4,6,1774,3,8ap8bz
6,6,1988,134,8apo50
6,6,1988,0,8apnod
6,6,1988,35,8apnhr
6,6,1988,12,8aplk5
5,6,1988,20,8api6c
5,6,1988,0,8aph2m
7,6,2046,3,8apuby
7,6,2046,5,8apsk5
8,6,2652,6,8aq8pj
9,6,3552,79,8aqldm
8,6,3552,8,8aqeva
10,6,2621,-2,8aqxex
9,6,2621,0,8aqrz2
11,6,2651,0,8arhbn
11,6,2651,-1,8arg94
11,6,2651,23,8arfwm
11,6,2651,-1,8arf35
11,6,2651,18,8ara7r
10,6,2651,13,8ar4vk
12,6,3508,-1,8arxea
12,6,3508,3,8arvm1
12,6,3508,0,8artt2
11,6,3508,0,8arnki
11,6,3508,10,8armdb
11,6,3508,0,8arl6h
11,6,3508,0,8arl2x
13,6,2980,17,8asbyd
13,6,2980,-2,8as611
12,6,2980,0,8as20q
12,6,2980,0,8as0hg
12,6,2980,0,8aryo2
14,6,2667,76,8asl6q
14,6,2667,0,8asqpn
14,6,2667,12,8asmp4
13,6,2667,5,8asi6h
15,6,2813,11,8at93z
15,6,2813,0,8at8qz
15,6,2813,0,8at5jo
15,6,2813,-1,8at49u
15,6,2813,0,8at3oj
15,6,2813,926,8at2s1
15,6,2813,9,8at236
14,6,2813,3,8asyht
16,6,2781,13,8atomg
16,6,2781,17,8ato2v
16,6,2781,3,8atmj4
16,6,2781,-1,8atj8d
15,6,2781,2,8atc4o
17,6,2752,71,8au2il
17,6,2752,6,8au11n
17,6,2752,20,8atufp
17,6,2752,162,8atuai
18,6,2687,55,8au96e
17,6,2687,0,8au3bt
19,6,3156,-2,8aurss
19,6,3156,0,8auqhr
19,6,3156,23,8aun83
18,6,3156,0,8auios
18,6,3156,75,8auh0i
18,6,3156,0,8auk30
18,6,3156,3,8auj1q
20,6,3516,15,8av5qc
20,6,3516,0,8av4uv
20,6,3516,1,8av0ln
19,6,3516,2,8auyec
21,6,3398,-1,8avhk3
21,6,3398,114,8avcli
21,6,3398,0,8avbsm
20,6,3398,0,8av7a4
22,6,2882,-1,8avqwc
21,6,2882,0,8avjrw
23,6,2792,0,8aw3kj
23,6,2792,0,8aw2tk
23,6,2792,16,8aw1us
23,6,2792,0,8aw04t
22,6,2792,0,8avzai
22,6,2792,4,8avwdq
0,0,2351,0,8awb0p
2,0,1921,-2,8awub3
2,0,1921,0,8awu25
1,0,1921,22,8awsum
3,0,1663,24,8ax2du
4,0,1819,14,8axagq
5,0,2043,946,8axngr
5,0,2043,6,8axknn
6,0,2163,0,8ay3cm
5,0,2163,5,8axts9
6,0,2163,9,8axzs9
6,0,2163,18,8axzp8
7,0,2375,90,8ay9hs
8,0,2437,1,8aywoa
8,0,2437,37,8ayq1c
7,0,2437,2,8aykg1
7,0,2437,2,8ayiox
9,0,2749,43,8az581
9,0,2749,13,8azcj3
8,0,2749,16,8az05k
10,0,2788,-1,8azsw7
10,0,2788,6,8azjm2
9,0,2788,46,8azh68
11,0,2497,5,8b06yg
11,0,2497,4,8b05qd
11,0,2497,59,8b0337
12,0,2564,15,8b0thq
12,0,2564,9,8b0ipa
13,0,2501,2,8b1b4z
13,0,2501,589,8b14wq
13,0,2501,2,8b1446
14,0,2451,-1,8b1p0n
14,0,2451,4,8b1mea
13,0,2451,0,8b1gi4
13,0,2451,-1,8b1dyd
15,0,2673,59,8b20m3
14,0,2673,0,8b1w70
16,0,2487,-1,8b2ph7
16,0,2487,-1,8b2oxw
16,0,2487,21,8b2obu
16,0,2487,14,8b2i0m
16,0,2487,28,8b2hn2
15,0,2487,-1,8b29v1
17,0,3064,35,8b315b
16,0,3064,-1,8b2s57
18,0,2483,99,8b3gzz
17,0,2483,1,8b34s3
19,0,2822,6,8b3ouu
